id,Origin,Name,Country,Tracks,Followers,ArtistRecentlyposted,Genre
1,HM,Cultural Bulletin,UK,16,0," selling, Raime",Electronic
2,HM,One Stop Record Shop,UK,11,0, Fly Felix,IndieRock
3,HM,Did Not Chart,UK,25,0, Fascinations Grand Chorus,IndieRock
4,HM,MedellinStyle,Colombia,20,0," SNTS, DJ Bone, The 7th Plain",Techno
5,HM,Weighty Things,Australia,16,1," J Beatz, Steve Spacek",Electronic
6,HM,Innate,UK,5,1, Datassette,Electronic
7,HM,Monument,Worldwide,12,1, BNJMN,Electronic
8,MD,indielovesongs,France,7,1,,IndieRock
9,HM,Shepherd Express,USA,25,1, Telethon,Punk
10,HM,if it be your will,Canada,55,2, A Modest Proposal,Electronic
11,HM,Grotesqualizer,USA,70,2," Moths, Heartsnatcher, Ellah a. Thaun",Electronic
12,HM,Cassette Blog,Mexico,50,2, Julio y Agosto,Folk
13,HM,Orb Mag,Worldwide,51,2, SJ Tequilla,House
14,HM,FILTER México,Mexico,16,2, DREAM WIFE,IndieRock
15,HM,The Five Ws Of,UK,10,2, bdrmm,IndieRock
16,HM,Records I Like,UK,74,2," The Seams, Primitive Lips",IndieRock
17,HM,Smashin' Transistors,USA,79,2, Terrestrials,IndieRock
18,HM,The Rocking Magpie,UK,22,2, Melanie Dekker,Pop
19,HM,Terminal 313,Estonia,20,3, Clouds,Electronic
20,HM,SOMETHINGGOOD,USA,42,3, Frog,House
21,HM,Doubtful Sounds,Australia,23,3," Hinkley, The Goon Sax",IndieRock
22,MD,La Régalerie,France,23,3,,IndieRock
23,HM,CT Scramble,USA,65,3," Emperor X, Ports Of spain, Callitarson",IndieRock
24,HM,Americana UK,USA,93,3," Michael Nau, Kramies, William The Conqueror",IndieRock
25,HM,MūzikasSirds,Latvija (Lituanie),23,3, LYZZA,Rap
26,HM,Electronic Beats,Germany,22,4," Colin Self, Rabit",Electronic
27,HM,Tabs Out,USA,116,4," Grant Evans, la plimbare, Shells",Electronic
28,HM,I Heart Noise,USA,60,4," Planet B, Ricardo Dias Gomes",Experimental
29,HM,Swine Daily,Slovak republik,30,4, SELF,IndieRock
30,HM,Girl Gang Music,USA,14,4, Sage Charmaine,Pop
31,HM,YACK! Magazine,UK,54,4, GURU,Rap
32,HM,janglepophub,South Africa,64,5," EggS, Useless Youth",IndieRock
33,HM,Música Cuántica,Spain,26,5, Adrianne Lenker,IndieRock
34,HM,Funky Jeff,Canada,8,6, Beat Pharmacy feat. Paul St Hilaire,Electronic
35,HM,Tanzgemesinchaft,Germany,39,6, TAPE,Electronic
36,HM,cool music and things,UK,35,6, Boat To Row,Folk
37,HM,Hard Of Hearing Music,UK,17,6, GURU,HipHop
38,HM,Post-Punk.com,Germany,41,7," Zanias, Sólveig Matthildur",Electronic
39,HM,Earthly Pleasures,UK,91,7, Sasha,Electronic
40,HM,The Slow Music Movement Blog,Portugal,110,7," Bartosz Kruczyński, Prins Emanuel, Yoshinori Hayashi",House
41,MD,Wise Sound,France,19,7,,IndieRock
42,HM,Collective Zine,UK,119,7," Weakened Friends, Jouska",IndieRock
43,HM,ohestee,Canada,69,8,Frog,House
44,HM,Adafruit,UK,109,8," Pip Hall, Malcolm Middleton, Art Brut",IndieRock
45,HM,Pequenos Classicos Perdidos,Brazil,44,9, TETO PRETO,Electronic
46,HM,Instrumental Daydreams,Sweden,44,9," Frak, Fjäder",Techno
47,HM,Recorder,Hungary,228,10," Trillion,  Route 8, Savages y Suefo",HipHop
48,HM,Savage Thrills,France,105,10," Silverbacks, Blasko",IndieRock
49,HM,Keep Walking Music,Spain,142,11, Mad Meg,Punk
50,HM,The Alternative,USA,307,11, Open Mike Eagle,Rap
51,HM,KALTBLUT Magazine,Germany,98,12," Kllo, Exhibitionist",Electronic
52,HM,Zone Nights,Argentina,349,12," The Room in the Wood, Wovoka Gentle, Simon Lynge",Folk
53,HM,Grimy Goods,USA,76,13," Rituals of Mine, Ian Wayne",Electronic
54,HM,Monolith Cocktail,Scotland,147,13," Alias & Doseone, Lee Reed",HipHop
55,HM,Sync Music Blog,UK,85,13," Lupa J, Men I Trust, Gabrielle Aplin",IndieRock
56,HM,Indie Buddie,UK,92,13," Earhart, Kidsmoke",IndieRock
57,HM,Sounds Good,UK,113,13," LENN, LUCIA, The Pale White",Pop
58,HM,PAROLE LIQUIDE,Italy,186,14, DJ ZID,Electronic
59,MD,Le Foie de Loutre,France,27 ,14,,IndieRock
60,HM,Aural Delights,UK,109,14, Flea,IndieRock
61,HM,The Letter,UK,116,15," Rhian Sheehan, Reto A Ichi, Synkro",Electronic
62,HM,Vortex Music Magazine,USA,174,15," Louis The Child, Crown The Empire",Electronic
63,HM,The Girls at the Rock Show,USA,244,15," TEN FÉ, White Room",IndieRock
64,HM,Ride The Tempo,Canada,432,15," Ollie, Koriass",Rap
65,HM,AAA Backstage,Australia,83,16, COLOURED CLOCKS,IndieRock
66,HM,BeatRoute Magazine,Canada,131,17," Jazz Cartier, Zeds Dead, Justin Martin",Electronic
67,HM,Tokyo Native,Japan,36,18," SwuM, THEY.",HipHop
68,HM,No Dough Music,UK,53,18, Together,House
69,HM,The Vinyl Factory,UK,133,20," Laurie Spiegel, Foodman, Mutant Beat Dance",Electronic
70,HM,Fuzzy Sun,USA,251,20," The Dunes, COCAINE PISS, Workin' Man Noise Unit",IndieRock
71,HM,In The Void,Türkije,311,21," Bewitched As Dark, Strider",Electronic
72,HM,Digital High,USA,225,21, Le Youth,Electronic
73,HM,Anti-algorithm music,Sweden,93,21, Black Starr,HipHop
74,HM,Christmas a Go Go,USA,192,23, The Lost Brothers,House
75,MD,Iggy Magazine,France,119,23,,IndieRock
76,HM,Adobe and Teardrops,USA,315,24, Frog,House
77,HM,This Not A Drill,USA,177,24, Skinny Girl Diet,IndieRock
78,HM,Imperfect Fifth,USA,297,24, Mythical Motors,IndieRock
79,HM,My Blog Cliche,Esp,478,25," Zanias, Dopplereffekt",Electronic
80,HM,Velvety,Spain,246,25," TIMI TEMPLE, Melby",IndieRock
81,HM,Christmas Underground,UK,135,25," Denison Witmer, Tom Rosenthal, Phoebe Bridgers",IndieRock
82,HM,The Seventh Hex,undefined,248,26," The Field, ZOLA JESUS, Crooked Man",Electronic
83,HM,VibeGods,Germany,64,26, Flamingosis,HipHop
84,HM,PopMatters,Worldwide,551,26, Japan Blues,House
85,HM,XS Noize,Ireland,269,26," River Fury, Editors",IndieRock
86,HM,bodyspace,Portugal,306,26," Nosso Querido Figueiredo, Will Samson",IndieRock
87,HM,SkullNBones,USA,212,26, Demifiend,Metal
88,HM,Teases and Dares,UK,281,27," Kids At Midnight, Futurecop!, Lupa J",Electronic
89,HM,Pop Tones,USA,113,27," Tyler, The Creator",HipHop
90,HM,Invisible Oranges,USA,832,27, Stardust,Metal
91,HM,GIG GOER,UK,221,29,Guru,Electronic
92,HM,Aupium,Worldwide,358,29," Sasha, TEN FÉ, LeyeT",Electronic
93,HM,TIU,Esp,437,30," Kaitlyn Aurelia Smith, Anthony Naples",Electronic
94,HM,Insert,UK,138,31," Kamixlo, Amnesia Scanner, Beauty Brain",Electronic
95,HM,ear tapas,undefined,117,31," Grynpyret, Jor-El, Louis The Child",Electronic
96,HM,Synths of Eden,Netherlands,300,32," Mokhov, lukka",Electronic
97,HM,DOMINIONATED,Canada,299,33, Daniel Romano,Folk
98,HM,Popmuzik,Sweden,542,35," Du Tonc, Joe Wood",Electronic
99,HM,Cereal + Sounds,USA,189,36, Frog,House
100,HM,Brutal Resonance,Germany,645,37," dreDDup, Avith Ortega, Clovvder",Experimental
101,HM,Weirdo Wasteland,Australia,156,38, Palm Springs,Electronic
102,HM,Chip Bit Sid,UK,311,38, bleeds,House
103,HM,Ovrld,USA,673,39, Abhi The Nomad,HipHop
104,HM,Decibel Magazine,USA,1024,43, DAGGRA,Metal
105,HM,Toute Ouie,France,63,45, Psychedelic Porn Crumpets,IndieRock
106,HM,Ball of Wax Audio Quarterly,New Zealand,522,46, electric bird noise,Electronic
107,HM,I heard a whisper,Australia,105,46, The Public Opinion Afro Orchestra,HipHop
108,HM,Wickedd Childd,Australia,323,47," Dahlia Sleeps, Leisure Suite",Electronic
109,HM,Digger,Mexique,283,49, SANTII,HipHop
110,HM,Can this even be called Music?,UK,608,53," Talweg, He Was Eaten By Owls, Sunless Dawn",Experimental
111,HM,Spectral Nights,UK,306,54, Jan Jelinek,Electronic
112,HM,EUCALYPT,Australia,402,54, Your Mum,Punk
113,HM,Fuzz Magazine,Belgium,431,54, Bjarki,Techno
114,HM,Too Much Love Magazine,USA,360,55," Automaton, Kazyak",Experimental
115,HM,Blue Bardot,Russia,603,56," SAN MEI, Trentemøller",Electronic
116,HM,fourculture,Worldwide,277,59, Dahlia Sleeps,Electronic
117,HM,nitestylez,Germany,309,59, fxbip,Experimental
118,HM,"Stitch By Stitch, Ltd. Ed.",Germany,342,60, Boca45,HipHop
119,HM,Post-Trash,USA,680,62, Pill,Rap
120,HM,Kollektiv Individualismus,Germany,85,63, DJ Koze,Electronic
121,HM,L.A. RECORD,USA,347,63," A3, Harriet Brown",Electronic
122,HM,Chordblossom,UK,655,63," Joshua Burnside, Jealous of the Birds, VerseChorusVerse",Folk
123,HM,Lie In The Sound,Germany,291,64," Whyte Horses, Say Sue Me, Taken By Trees",IndieRock
124,HM,RAPPAMELO,Italy,586,66," Souleance, Deantoni Parks, Kaidi Tatham",Electronic
125,HM,No Clean Singing,USA,3185,66, Spearhead,Metal
126,HM,Rap Wave,Canada,688,67," Studio,  A BOOGIE WIT DA HOODIE, JABO, CZARFACE",Electronic
127,HM,OTPT,UK,219,67," johnny utah, DAVE B, Smino",HipHop
128,HM,Bolting Bits,Canada,407,68," Urulu, Channel Tres, Subjoi",House
129,HM,Ambiance Jeune,France,516,69, Ralph Carney,Experimental
130,HM,Podcart,UK,389,70, White Room,Electronic
131,HM,The Music Court,UK,288,74,"Max Lee, Midwest Soul Xchange",IndieRock
132,HM,For The Rabbits,UK,618,76, Frog,House
133,HM,A Strangely Isolated Place,USA,84,77, Khotin,Electronic
134,HM,Faeton Music Blog,Ukraine,439,79, Hanz,House
135,HM,Routinebiteshard,UK,307,80, Otha,Electronic
136,HM,Make Believe Melodies,Japan,113,82," zzz, PARKGOLF, Pa's Lam System",Electronic
137,HM,Sawdust and Gin,USA,1019,84," Rituals of Mine, Ian Wayne, Steady Holiday",Electronic
138,HM,Hyperbolium,USA,544,89," The Persian Leaps, Blue Yonder",IndieRock
139,HM,Swell Tone,USA,227,91, Queen of Jeans,IndieRock
140,HM,Dansende Beren,Belgium,1009,92, GURU,Rap
141,HM,Purple Sneakers,Australia,739,96," Milan Ring, Lupa J, Planète",Electronic
142,HM,YabYum West,USA,1183,96," Playboy Manbaby, Why?",HipHop
143,HM,SHREM'S CAROUSEL OF ÜBER NERDINESS,Ireland,222,98, ONUKA,Electronic
144,HM,One Chord to Another,Finland,838,98," Grand Salvo, VanWyck, Anna Tivel",Folk
145,HM,Undertheradar,New Zealand,111,101, Hybrid Rose,Electronic
146,HM,Heavy Blog Is Heavy,USA,2041,102," Wanderlust, Respire, NAG",Punk
147,HM,Headphone Commute,UK,277,104," Andrew Heath, Richard Devine, Ebauche",Electronic
148,HM,We Close Tonight,UK,869,105, Famous,HipHop
149,MD,Wall Of Sound,France,90,106,,IndieRock
150,HM,hyponik,UK,489,108," DJ Earl, Shelley Parker, Clouds",Electronic
151,HM,self-titled magazine,USA,359,109," Alias, Scuba, Mala, Alias & Doseone, Mophono",Electronic
152,HM,beehype,Worldwide,619,109, Nicola Cruz,Electronic
153,HM,Pan od Muzyki,Poland,459,110, Hermitude,HipHop
154,HM,Support Your Local Ghetto,Germany,138,114," Alias, Jlin",Electronic
155,HM,When The Horn Blows,UK,1286,114," DOV, HOCKEYSMITH, FTK",Electronic
156,HM,Gobsmag,Netherlands,641,115," Delsbo Beach Club, SHIELDS",IndieRock
157,MD,Indeflagration,France,166,116,,IndieRock
158,HM,Le Visiteur,UK,578,118," Du Tonc, Intr0beatz, CRi",Electronic
159,HM,Underground Tel Aviv,Israël,182,118, Ken Hayakawa,House
160,HM,The Last Mixed Tape,Ireland,743,119, Subplots,IndieRock
161,HM,WE LOVE THAT,Germany,1059,122, GURU,Rap
162,HM,Vehlinggo,USA,628,123, Carpenter Brut,Electronic
163,HM,HIP DOZER,France,154,123," Handbook, Johnny Utah, Konteks",HipHop
164,HM,The Owl Mag,Worldwide,302,123, Rituals of Mine,HipHop
165,HM,All Around Sound,USA,245,124," Tiny Ruins, Jessica Pratt",Folk
166,HM,3am Revelations,Canada,209,125, HIGHS,Pop
167,MD,Heure Bleue,France,274,129,,IndieRock
168,HM,Abouttoblow,UK,329,131, Pupils of the Clock,HipHop
169,HM,Concrete Opinions,UK,468,131," Earl Sweatshirt, JID, Vince Staples",HipHop
170,HM,Speak Into My Good Eye,USA,918,132, Violet Sands,Electronic
171,HM,AnalogueTrash,UK,630,135," SUMif, Otha",Electronic
172,HM,I Oh You,Australia,210,137, Golden Vessel,Electronic
173,HM,Brighton Music Blog,UK,617,138, GURU,HipHop
174,HM,Groovilant,Denmark,296,144," Break Science, Late Night Radio",Electronic
175,HM,HOLY SOUL,UK,109,144," Curtis Mayfield, Johnny 'Guitar' Watson",Experimental
176,HM,Nicorola,Germany,697,144, GURU,HipHop
177,HM,Destroy//Exist,USA,1192,146, Ollie Wride,Electronic
178,HM,Inverted Audio,UK,880,147," Xosar, Overmono, SAM KIDEL",Electronic
179,HM,mapambulo,Germany,1378,147, haze,HipHop
180,HM,Muros de Absenta,Portugal,473,150, Greta Van Fleet,IndieRock
181,HM,Echoes and Dust,UK,129,150," Flea, WORKIN' MAN NOISE UNIT, ACID MOTHERS TEMPLE",IndieRock
182,HM,Bitter Sweet Symphonies,UK,786,153," Gabrielle Aplin, Sea Legs",IndieRock
183,HM,The Listening Post Blog,USA,685,154," Mr. Airplane Man, Grinderman",IndieRock
184,HM,50thirdand3rd,Worldwide,2351,158," Iron Chic, Satan's Satyrs",Punk
185,HM,Nordic Spotlight,USA,451,159," Pre-Echo, The Entrepreneurs",IndieRock
186,HM,Louder Than War,UK,1227,161," The Ocean Party, FERAL FIVE, Ed Prosek",IndieRock
187,HM,I Die: You Die,Canada,1925,163," Zanias, Test Dept, Radioaktivists",Electronic
188,HM,At Cost Magazine,USA,1122,163," Sasha, Kllo, TEN FÉ",Electronic
189,MD,Le Soundrivin,France,226,164,,IndieRock
190,HM,House of Plates,USA,130,167," Toro y Moi, Zimmer",Electronic
191,HM,Dan Digs,USA,384,168," Shadowgraphs, OSO LEONE",IndieRock
192,HM,Reselect,USA,188,180, Sly And The Family Stone,Funk
193,HM,SoulBounce,USA,4407,189, brandon*,HipHop
194,HM,Girl Underground Music,UK,731,190, Rosie Carney,Folk
195,HM,the loop,USA,204,191, Brothertiger,Electronic
196,HM,12XU,Germany,4556,194,Pill,Rap
197,HM,Spincoaster,Japan,737,196," Say Sue Me, NANCY",IndieRock
198,HM,Passive/Aggressive,Danemark,488,197, Forest Drive West,Electronic
199,HM,music islands,Japan,650,200," Sevdaliza, Billie Eilish, Men I Trust",Electronic
200,HM,Dummy,UK,685,201," Strict Face, Mike Gervais",House
201,HM,The Grey Estates,UK,947,203, Versing,IndieRock
202,HM,EarToTheGround,USA,2648,203," Joy Downer, runabay, COTE",Pop
203,HM,Substance is meaningless,Austria,844,204, Cosmo Sheldrake,Electronic
204,HM,Reviler,USA,864,208, Charlie Parr,Folk
205,HM,Sherlock Ohms's Blog,UK,338,211, JFB,Electronic
206,HM,Groove Magazine,Germany,761,212," Laksa, Shelley Parker, Dave Aju",Electronic
207,HM,Alt Citizen,USA,340,212, THICK,IndieRock
208,HM,I Left Without My Hat,France,685,217, AGORIA,Electronic
209,HM,glamglare,USA,1857,222," Lusts, Softer Still, Earhart",IndieRock
210,HM,Across The Kitchen Table,Scotland,953,226," Frightened Rabbit, Shack, Coldplay",IndieRock
211,HM,Getintothis,UK,1262,230, Gum Takes Tooth,Experimental
