Lieu;Latitude;Longitude
Découvrir la Brière (Saint-Lyphard, agence d'excursion);47.341899;-2.287616
Plage de la Courance (Saint-Nazaire);47.239773;-2.271741
Plage de Monsieur Hulot (Saint-Marc-sur-Mer);47.237858;-2.280485
Plage du Jaunais (Saint-Nazaire);47.236991;-2.302753
La Chaussée-Neuve (Saint-André-des-Eaux);47.342532;-2.288139
Réserve naturelle régionale Marais de Brière - Site Pierre Constant (Saint-Malo-de-Guersac);47.360602;-2.198576
Parc Paysager (Saint-Nazaire);47.275181;-2.228539
Jardin des Plantes (Saint-Nazaire);47.268713;-2.216168
Etang du Bois Joalland (Saint-Nazaire);47.281001;-2.251542
Bassin de Guindreff (Saint-Nazaire);47.286645;-2.247155