Nom;Latitude;Longitude
WC PUBLICS AVENUE LÉO LAGRANGE (PARC PAYSAGER BOULODROME);47.2714594457;-2.226623373
WC PUBLICS AVENUE DE SAINT-NAZAIRE (BOULODROME);47.2443833793;-2.27819374182
WC PUBLICS AVENUE DE BÉARN (JARDIN DES PLANTES);47.2702645598;-2.21581319115
WC PUBLICS POSTE DE SECOURS PLAGE DE M. HULOT;47.2381112703;-2.28029952686
WC PUBLICS PLACE PIERRE BOURDAN (PERTUISCHAUD);47.2635572827;-2.23453147708
WC PUBLICS RUE LE NOTRE (SKATE PARK);47.2677374719;-2.22065638844
WC PUBLICS PLACE DU COMMANDO;47.2712669489;-2.20625757569
WC PUBLICS POSTE DE SECOURS DE LA COURANCE;47.240174374;-2.27051102572
WC PUBLICS PLACE MARCEL PAUL;47.2790017182;-2.21695073144
WC PUBLICS DU BOIS-JOALLAND;47.2798693397;-2.25984434154
WC PUBLICS PLAGE DE PORCE;47.2534088497;-2.25404656447
WC PUBLICS SQUARE DU BOUT DU MONDE (KERLEDE);47.2568519135;-2.2366433245
WC PUBLICS RUE CHARCOT (SAINT MARC);47.2383417265;-2.28115214164
WC PUBLICS BD ALBERT 1ER (SAUTRON);47.2655299379;-2.22421090947
WC PUBLICS PLAGE DE VILLES MARTIN;47.257906928;-2.22753496821
WC PUBLICS PLACE DES MARTYRS DE LA RÉSISTANCE;47.278478803;-2.21150720012
WC PUBLICS SQUARE DES AVIATEURS (MEAN);47.2934900178;-2.19129349407
WC PUBLICS PLACE TATI (SAINT-MARC);47.2403260949;-2.27827340861
WC PUBLICS PLACE SEMARD (GARE);47.2857803599;-2.2115409054
WC PUBLICS BOIS JOALLAND BI CROSS;47.2734586736;-2.24991168953
WC PUBLICS BD ALBERT 1ER;47.2619164695;-2.22467249418
WC PUBLICS PLAGE DES JAUNAIS;47.2368623994;-2.30120515639
WC PUBLICS CHEMIN DE LA PRÉVAUTÉ (ETANG GUINDREFF);47.2863812883;-2.23584640909
WC PUBLICS SQUARE FRANÇOIS GUIZOT (PARC PAYSAGER);47.2729299445;-2.22182049716
WC PUBLICS RUE ERNEST LAVISSE (IMMACULEE);47.282770242;-2.26056776691
WC PUBLICS QUAI DU PORT DE MEAN;47.299245995;-2.18362246463
WC PUBLICS SQUARE MARCEL PAGNOL;47.264466447;-2.24359286742
WC PUBLICS VILLE-PORT (BSM RAMPE);47.27641342;-2.20401748774
WC PUBLICS PLACE BLANCHO;47.2740528366;-2.2133526944